year,2021,2021,2021,avg
month,8,9,10,
daily_charge,10.004999999999999,10.335624999999999,8.969999999999999,9.770208333333331
night_kWh,168.85,105.77,56.85,110.49000000000001
total_charge,119.069588,89.564756,48.411438,85.68192733333332
usage_charge,109.064588,79.229131,39.441438,75.911719
usage_kWh,591.04,414.48,215.94,407.15333333333336
weekday_kWh,299.0,237.55,105.12,213.89
weekend_kWh,123.19,71.16,53.97,82.77333333333333
days,29.0,30.0,26.0,28.333333333333332
night_perc,28.56828641039524,25.518722254391044,26.326757432620173,26.804588699135483
weekend_perc,20.84292095289659,17.168500289519397,24.993053626007224,21.001491622807738
weekday_perc,50.58879263670818,57.312777456089556,48.680188941372606,52.19391967805677
off_peak_perc,49.41120736329182,42.68722254391044,51.319811058627394,47.80608032194322
